"Operon_ID","Gene","Product"
347,"purL2","phosphoribosylformylglycinamidine synthase I"
348,"-","hypothetical protein"
349,"-","hypothetical protein"
350,"purU","formyltetrahydrofolate deformylase"
351,"-","hypothetical protein"
352,"-","hypothetical protein"
353,"gul2","inosine-5'-monophosphate dehydrogenase"
354,"sub","subtilisin-like serine protease"
354,"-","hypothetical protein"
355,"-","hypothetical protein"
356,"-","hypothetical protein"
357,"-","hypothetical protein"
358,"-","polyketide biosynthesis dithiol-disulfide isomerase"
359,"tgtA2","archaeosine tRNA-ribosyltransferase"
359,"tgtA1","7-cyano-7-deazaguanine tRNA-ribosyltransferase"
359,"-","hypothetical protein"
360,"-","hypothetical protein"
361,"-","hypothetical protein"
362,"-","kinase"
363,"-","hypothetical protein"
364,"-","hypothetical protein"
365,"yvrO","amino acid ABC transporter ATP-binding protein"
365,"-","hypothetical protein"
366,"glpK","hypothetical protein"
367,"-","hypothetical protein"
367,"gpdA2","glycerol-3-phosphate dehydrogenase chain A"
367,"gpdB","anaerobic glycerol-3-phosphate dehydrogenase subunit B"
368,"glpC","glycerol-3-phosphate dehydrogenase chain C"
369,"-","hypothetical protein"
370,"-","hypothetical protein"
371,"-","hypothetical protein"
372,"mutS2","DNA mismatch repair protein MutS"
372,"-","hypothetical protein"
373,"-","hypothetical protein"
373,"-","hypothetical protein"
374,"-","hypothetical protein"
374,"-","pseudouridylate synthase"
375,"rnhB","ribonuclease HII"
376,"-","hypothetical protein"
377,"-","hypothetical protein"
377,"secD","preprotein translocase subunit SecD"
378,"secF","preprotein translocase subunit SecF"
378,"-","hypothetical protein"
379,"-","hypothetical protein"
379,"pgi","peroxidase / catalase"
380,"-","hypothetical protein"
381,"-","hypothetical protein"
382,"-","hypothetical protein"
383,"infB","translation initiation factor IF-2"
384,"-","hypothetical protein"
384,"-","hypothetical protein"
385,"prrIV1","proteasome-activating nucleotidase"
386,"yjbG","oligopeptidase"
387,"-","hypothetical protein"
387,"truA","tRNA pseudouridine synthase A"
388,"hisS","histidyl-tRNA synthetase"
388,"-","hypothetical protein"
389,"-","hypothetical protein"
390,"rps19e","30S ribosomal protein S19"
390,"thiL","hypothetical protein"
391,"-","hypothetical protein"
392,"-","hypothetical protein"
393,"-","hypothetical protein"
394,"cat1","cationic amino acid transporter"
394,"pyrH","uridylate kinase"
395,"lysS","hypothetical protein"
396,"-","hypothetical protein"
397,"-","hypothetical protein"
398,"-","hypothetical protein"
399,"gsp","general stress protein 69"
400,"-","hypothetical protein"
400,"yyaI","acetyltransferase-like protein"
401,"-","hypothetical protein"
402,"-","hypothetical protein"
403,"-","hypothetical protein"
404,"nadE","NAD synthetase"
404,"FAD1","enoyl-CoA hydratase"
405,"-","hypothetical protein"
406,"-","hypothetical protein"
406,"hlx1","Hlx1"
407,"-","hypothetical protein"
408,"-","hypothetical protein"
409,"-","hypothetical protein"
410,"-","hypothetical protein"
410,"ham1","HAM1 protein"
410,"-","hypothetical protein"
410,"gcp","O-sialoglycoprotein endopeptidase/protein kinase"
410,"rps27ae","30S ribosomal protein S27"
411,"rps24e","30S ribosomal protein S24"
412,"-","hypothetical protein"
412,"rpoE''","DNA-directed RNA polymerase subunit E''"
412,"rpoE'","DNA-directed RNA polymerase subunit E'"
412,"-","hypothetical protein"
413,"eif2g","translation initiation factor IF-2 subunit gamma"
414,"trkA1","TRK potassium uptake system protein"
415,"-","hypothetical protein"
415,"phnP","ATP-binding protein"
416,"atp","ATPase AAA"
417,"-","hypothetical protein"
418,"aca","acetyl-CoA acetyltransferaseACA"
419,"dgs","dolichol-P-glucose transferase"
420,"-","hypothetical protein"
421,"-","hypothetical protein"
421,"-","hypothetical protein"
421,"lfl2","Lfl2"
422,"-","hypothetical protein"
423,"serS","seryl-tRNA synthetase"
424,"-","hypothetical protein"
424,"-","hypothetical protein"
425,"rpl40e","50S ribosomal protein L40"
426,"mutT","hypothetical protein"
426,"hat2","acetyltransferase"
427,"rpl15e","50S ribosomal protein L15"
428,"-","hypothetical protein"
428,"-","hypothetical protein"
428,"-","hypothetical protein"
429,"polC","DNA polymerase bacteriophage-type"
430,"phnE","transport protein"
431,"-","hypothetical protein"
432,"phnC","phosphonates transport ATP-binding protein"
433,"hpb","phosphate binding protein"
434,"hisH","imidazole glycerol phosphate synthase subunit HisH"
435,"trm1","N2,N2-dimethylguanosine tRNA methyltransferase"
436,"-","hypothetical protein"
437,"-","hypothetical protein"
438,"-","hypothetical protein"
439,"glnA","hypothetical protein"
440,"trh4","transcription regulator"
441,"cctB","thermosome subunit beta"
442,"-","hypothetical protein"
443,"-","hypothetical protein"
443,"-","hypothetical protein"
444,"-","hypothetical protein"
445,"iluA","threonine dehydratase"
446,"-","hypothetical protein"
447,"citZ","citrate synthase"
448,"pchB","potassium channel-like protein"
449,"-","hypothetical protein"
450,"-","hypothetical protein"
450,"sdh","succinate dehydrogenase subunit"
451,"thrC3","threonine synthase"
452,"-","hypothetical protein"
453,"-","hypothetical protein"
454,"-","hypothetical protein"
455,"-","hypothetical protein"
456,"-","hypothetical protein"
457,"-","hypothetical protein"
458,"-","adenine phosphoribosyltransferase"
458,"pyrE2","orotate phosphoribosyltransferase"
459,"hop","Hop"
460,"-","hypothetical protein"
461,"yusM","proline dehydrogenase"
462,"-","hypothetical protein"
463,"ilvE2","branched-chain amino acid aminotransferase"
464,"nhaC2","Na+/H+ antiporter"
465,"-","hypothetical protein"
465,"ribB","3,4-dihydroxy-2-butanone 4-phosphate synthase"
465,"-","hypothetical protein"
466,"-","tRNA-modifying enzyme"
466,"-","hypothetical protein"
467,"minD2","hypothetical protein"
468,"lpl","Lpl"
469,"erf1","peptide chain release factor eRF-1"
470,"FER1","ferredoxin"
470,"-","hypothetical protein"
471,"atpD","V-type ATP synthase subunit D"
472,"blh","Brp-like protein"
473,"ggt","geranylgeranyl-diphosphate geranylgeranyltransferase"
473,"atpB","V-type ATP synthase subunit B"
474,"atpA","V-type ATP synthase subunit A"
475,"xthA","hypothetical protein"
475,"atpF","V-type ATP synthase subunit F"
475,"atpC","V-type ATP synthase subunit C"
475,"atpE","V-type ATP synthase subunit E"
476,"atpK","H+-transporting ATP synthase subunit K"
476,"atpI","H+-transporting ATP synthase subunit I"
477,"-","hypothetical protein"
478,"hmp","Hmp"
479,"-","hypothetical protein"
480,"-","hypothetical protein"
480,"etfB","electron transfer flavoprotein subunit beta"
480,"etfA","electron transfer flavoprotein subunit alpha"
481,"-","hypothetical protein"
482,"-","hypothetical protein"
483,"fps","isopentenyl pyrophosphate isomerase"
484,"-","hypothetical protein"
485,"-","hypothetical protein"
486,"-","hypothetical protein"
486,"-","hypothetical protein"
487,"oxrA","oxidoreductase"
488,"manC","mannose-1-phosphate guanylyltransferase"
489,"pepB1","aminopeptidase"
489,"-","hypothetical protein"
489,"-","hypothetical protein"
490,"-","hypothetical protein"
491,"-","hypothetical protein"
492,"-","hypothetical protein"
492,"-","hypothetical protein"
493,"dbp","DNA-binding protein -like"
494,"-","hypothetical protein"
495,"adh1","alcohol dehydrogenase"
496,"-","hypothetical protein"
496,"-","hypothetical protein"
497,"-","hypothetical protein"
498,"rad24a","DNA repair protein"
499,"-","hypothetical protein"
500,"-","hypothetical protein"
500,"-","hypothetical protein"
501,"-","hypothetical protein"
502,"-","hypothetical protein"
503,"-","hypothetical protein"
504,"-","hypothetical protein"
505,"-","hypothetical protein"
506,"mcm","MCM / cell division control protein 21"
506,"-","hypothetical protein"
507,"-","hypothetical protein"
508,"tfbA","transcription initiation factor IIB"
509,"-","hypothetical protein"
509,"hit1","Hit1"
510,"-","hypothetical protein"
511,"-","hypothetical protein"
512,"ileS","isoleucyl-tRNA synthetase"
512,"-","hypothetical protein"
512,"coxA1","cytochrome c oxidase subunit I"
513,"coxB2","cytochrome c oxidase subunit II"
514,"-","hypothetical protein"
515,"hcpB","halocyanin-like protein"
516,"-","hypothetical protein"
516,"-","hypothetical protein"
517,"cpx","heavy-metal transporting CPx-type ATPase"
518,"-","hypothetical protein"
519,"prsA","hypothetical protein"
520,"-","hypothetical protein"
521,"-","hypothetical protein"
521,"-","hypothetical protein"
522,"pmu1","phosphomannomutase"
523,"-","hypothetical protein"
523,"trpS1","tryptophanyl-tRNA synthetase"
523,"endA","tRNA splicing endonuclease"
523,"-","hypothetical protein"
524,"brr2","pre-mRNA splicing helicase"
525,"-","hypothetical protein"
526,"dinF","DNA damage-inducible protein"
527,"lip","lipoyl synthase"
528,"pdhA2","pyruvate dehydrogenase alpha subunit"
528,"pdhB","hypothetical protein"
528,"dsa","branched-chain alpha-keto acid dehydrogenase subunit E2"
529,"lpdA","LpdA"
530,"pheA","hypothetical protein"
531,"ftsZ2","cell division protein FtsZ"
532,"leuS","leucyl-tRNA synthetase"
533,"ocd1","ornithine cyclodeaminase"
534,"cctA","thermosome subunit alpha"
534,"-","RNA-processing protein"
534,"-","hypothetical protein"
535,"-","hypothetical protein"
536,"trpS2","tryptophanyl-tRNA synthetase"
537,"-","hypothetical protein"
537,"eif1a1","translation initiation factor IF-1A"
538,"-","hypothetical protein"
539,"-","hypothetical protein"
540,"tyrS","tyrosyl-tRNA synthetase"
540,"-","hypothetical protein"
541,"-","hypothetical protein"
542,"-","hypothetical protein"
542,"rfcC","replication factor C small subunit 2"
543,"-","hypothetical protein"
544,"-","hypothetical protein"
544,"tbpE","transcription factor"
544,"-","hypothetical protein"
545,"-","hypothetical protein"
546,"hisG","ATP phosphoribosyltransferase"
546,"-","hypothetical protein"
547,"trzA","N-ethylammeline chlorohydrolase"
548,"achY","S-adenosyl-L-homocysteine hydrolase"
549,"hjr","Hjr"
550,"-","hypothetical protein"
551,"-","DNA primase large subunit"
552,"-","phosphatidylserine decarboxylase"
553,"-","hypothetical protein"
554,"pcn","DNA polymerase sliding clamp"
555,"nce","Na+/Ca2+-exchanging protein"
556,"-","phosphoenolpyruvate carboxylase"
557,"-","hypothetical protein"
558,"-","hypothetical protein"
559,"-","hypothetical protein"
560,"ftsJ","hypothetical protein"
560,"-","hypothetical protein"
561,"-","hypothetical protein"
562,"tatC2","protein export"
562,"tatC1","protein export"
563,"mutS3","hypothetical protein"
563,"cdc6","cell division control protein 6"
564,"rpi","ribose-5-phosphate isomerase A"
565,"-","hypothetical protein"
566,"-","hypothetical protein"
567,"pmm","phosphoglucomutase/phospho-mannomutase"
568,"-","hypothetical protein"
569,"-","hypothetical protein"
570,"rfc","replication factor C small subunit"
571,"-","hypothetical protein"
572,"-","hypothetical protein"
573,"-","hypothetical protein"
574,"alaS","alanyl-tRNA synthetase"
574,"hisI","phosphoribosyl-AMP cyclohydrolase"
575,"-","hypothetical protein"
