"Operon_ID","Gene","Product"
170,"yjzC","hypothetical protein"
171,"yjzD","hypothetical protein"
172,"yjaU","hypothetical protein"
172,"yjaV","NAD(P) binding enzyme"
173,"rplL","50S ribosomal protein L7/L12"
173,"med","positive regulator of comK"
174,"comZ","late competence gene"
175,"yjzB","hypothetical protein"
175,"fabHA","3-oxoacyl-ACP synthase"
176,"fabF","3-oxoacyl-ACP synthase"
176,"yjaZ","hypothetical protein"
177,"ybxB","ribosomal RNA methyltransferase"
177,"appD","oligopeptide ABC transporter ATP-binding protein"
178,"appF","oligopeptide ABC transporter ATP-binding protein"
178,"appB","oligopeptide ABC transporter permease"
179,"appC","oligopeptide ABC transporter permease"
180,"yjbA","nucleic acid binding protein"
181,"trpS","tryptophanyl-tRNA synthetase"
182,"rpoB","DNA-directed RNA polymerase subunit beta"
183,"oppA","oligopeptide ABC transporter binding lipoprotein"
183,"oppB","oligopeptide ABC transporter permease"
183,"oppC","oligopeptide ABC transporter permease"
183,"oppD","oligopeptide ABC transporter ATP-binding protein"
184,"oppF","oligopeptide ABC transporter ATP-binding protein"
185,"yjbB","exporter"
186,"yjbC","thiol oxidation management factor; acetyltransferase"
187,"spxA","transcriptional regulator Spx"
188,"yjbE","transporter component"
189,"mecA","adaptor protein"
189,"coiA","DNA transport protein"
190,"pepF","oligoendopeptidase F"
191,"yizD","hypothetical protein"
191,"yjbH","thiol management oxidoreductase component"
192,"yjbI","thiol management oxidoreductase component"
193,"yjbJ","murein lytic transglycosylase"
194,"yjbK","RNA/thiamine triphosphatase"
194,"yjbL","phosphatase"
194,"yjbM","(p)ppGpp synthetase"
195,"ppnK","inorganic polyphosphate/ATP-NAD kinase"
196,"yjbO","pseudouridylate synthase"
197,"yjbP","bis(5'-nucleosyl)-tetraphosphatase"
198,"yjbQ","Na+/H+ antiporter"
198,"tenA","thiaminase II"
198,"tenI","transcriptional regulator TenI"
198,"thiO","FAD-dependent glycine oxidase"
198,"thiS","hydroxyethylthiazole phosphate synthesis sulfur carrier protein"
198,"thiG","thiazole synthase"
198,"thiF","thiamine/molybdopterin biosynthesis ThiF/MoeB-like protein"
199,"yjbV","phosphomethylpyrimidine kinase"
200,"fabI","enoyl-ACP reductase"
201,"cotO","spore outer coat protein"
202,"cotZ","spore coat protein"
203,"cotY","outer spore coat protein"
204,"cotX","spore coat protein"
204,"cotW","spore coat protein"
205,"cotV","spore coat protein"
206,"yjcA","sporulation-specific protein"
207,"yjzK","hypothetical protein"
208,"yjcZ","hypothetical protein"
209,"spoVIF","sporulation-specific protein needed for heat resistance"
210,"yjcD","ATP-dependent DNA helicase"
211,"rpoC","DNA-directed RNA polymerase subunit beta'"
212,"yjzE","hypothetical protein"
212,"yjcF","acetyltransferase"
212,"yjcG","hypothetical protein"
213,"yjcH","hydrolase"
213,"yjcI","cystathionine gamma-synthase"
214,"yjcJ","cystathionine beta-lyase"
215,"yjcK","ribosomal-protein-alanine N-acetyltransferase"
216,"yjcL","hypothetical protein"
217,"yjcM","hypothetical protein"
218,"yjcN","hypothetical protein"
218,"yjzF","hypothetical protein"
218,"yjzG","hypothetical protein"
219,"yjcO","DNA binding protein"
219,"yjcP","hypothetical protein"
220,"yjcQ","hypothetical protein"
221,"yjcR","nucleic acid binding terminase small subunit"
222,"yjcS","hypothetical protein"
223,"yjdA","3-ketoacyl-ACP reductase"
224,"yjdB","hypothetical protein"
225,"manR","transcriptional antiterminator"
225,"manP","PTS system mannose-specific transporter subunit IIBCA"
226,"manA","mannose-6-phosphate isomerase"
227,"yjdF","hypothetical protein"
228,"yjdG","acetyltransferase"
229,"yjdH","hypothetical protein"
230,"yjdI","hypothetical protein"
231,"yjzH","hypothetical protein"
232,"yjdJ","hypothetical protein"
233,"ctaO","protoheme IX farnesyltransferase"
234,"cotT","spore coat protein"
235,"yjeA","secreted deoxyriboendonuclease"
236,"yjfA","hypothetical protein"
237,"yjfB","hypothetical protein"
238,"yjfC","hypothetical protein"
239,"yjgA","hypothetical protein"
240,"yjgB","hypothetical protein"
240,"yjgC","oxidoreductase"
241,"yjgD","hypothetical protein"
242,"yjhA","lipoprotein"
243,"yjhB","ADP-ribose pyrophosphatase"
244,"yjiA","hypothetical protein"
244,"yjiB","monooxygenase"
244,"yjiC","glycosyltransferase"
245,"ybxF","ribosomal protein L7Ae-like"
246,"yjzI","hypothetical protein"
247,"hemD","uroporphyrinogen-III synthase"
247,"yjkA","ABC transporter permease"
248,"yjkB","phosphate ABC transporter ATP-binding protein"
249,"yjlA","permease"
250,"rpsL","30S ribosomal protein S12"
251,"yjlB","hypothetical protein"
251,"rex","transcriptional repressor"
252,"ndh","NADH dehydrogenase"
252,"uxaC","glucuronate isomerase"
253,"rpsG","30S ribosomal protein S7"
254,"exuM","Na+:altronate/mannonate symporter"
254,"yjmC","oxidoreductase"
254,"yjmD","oxidoreductase"
254,"uxuA","mannonate dehydratase"
254,"yjmF","D-mannonate oxidoreductase"
255,"fusA","elongation factor G"
256,"exuT","hexuronate transporter"
257,"exuR","LacI family transcriptional regulator"
257,"uxaB","altronate oxidoreductase"
258,"uxaA","altronate hydrolase"
259,"yjnA","hypothetical protein"
260,"yjoA","hypothetical protein"
261,"yjoB","ATPase"
261,"rapA","response regulator aspartate phosphatase"
262,"phrA","secreted inhibitor of the activity of phosphatase RapA"
263,"yjpA","hypothetical protein"
264,"xlyB","N-acetylmuramoyl-L-alanine amidase"
265,"yjqA","hypothetical protein"
266,"yjqB","PBSX phage-related replication protein"
267,"yjqC","PBSX phage manganese-containing catalase"
268,"xkdA","PBSX phage protein, peptidase"
269,"xre","Phage PBSX transcriptional regulator"
269,"yjzJ","hypothetical protein"
269,"xkdB","hypothetical protein"
269,"xkdC","hypothetical protein"
270,"ykzK","hypothetical protein"
270,"xkdD","hypothetical protein"
271,"xtrA","PBSX phage protein"
272,"xpf","positive control sigma-like factor"
272,"xtmA","PBSX defective prophage terminase small subunit"
272,"xtmB","PBSX defective prophage terminase large subunit"
272,"xkdE","phage capsid protein"
272,"xkdF","hypothetical protein"
273,"tufA","elongation factor Tu"
273,"xkdG","capsid protein of PBSX prophage"
273,"ykzL","hypothetical protein"
273,"xkdH","hypothetical protein"
273,"xkdI","hypothetical protein"
273,"xkdJ","hypothetical protein"
273,"ykzM","hypothetical protein"
273,"xkdK","hypothetical protein"
274,"xkdM","hypothetical protein"
274,"xkdN","hypothetical protein"
274,"xkzB","hypothetical protein"
274,"xkdO","hypothetical protein"
274,"xkdP","PBSX prophage murein binding protein"
274,"xkdQ","hypothetical protein"
275,"xkdR","hypothetical protein"
275,"xkdS","hypothetical protein"
275,"xkdT","base plate assembly protein; PBSX prophage protein"
276,"ybaC","proline iminopeptidase"
