"Operon_ID","Gene","Product"
122,"HCP21_00020130","hypothetical protein"
122,"HCP21_00020170","hypothetical protein"
122,"HCP21_00020200","Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase"
123,"HCP21_00020240","IBR domain."
124,"HCP21_00020260","hypothetical protein"
124,"HCP21_00020310","hypothetical protein"
125,"HCP21_00020350","hypothetical protein"
125,"HCP21_00020360","hypothetical protein"
126,"HCP21_00020380","hypothetical protein"
126,"HCP21_00020490","hypothetical protein"
127,"HCP21_00020500","Protein phosphatase 2C."
128,"HCP21_00020550","hypothetical protein"
128,"HCP21_00020560","hypothetical protein"
128,"HCP21_00020570","hypothetical protein"
128,"HCP21_00020600","Predicted beta-xylosidase"
129,"HCP21_00020610","hypothetical protein"
130,"HCP21_00020620","hypothetical protein"
131,"HCP21_00020630","hypothetical protein"
131,"HCP21_00020670","hypothetical protein"
132,"HCP21_00020720","hypothetical protein"
132,"HCP21_00020800","hypothetical protein"
133,"HCP21_00020840","hypothetical protein"
133,"HCP21_00021030","hypothetical protein"
134,"HCP21_00021060","hypothetical protein"
135,"HCP21_00021090","G:T/U mismatch-specific DNA glycosylase"
136,"HCP21_00021100","23S"
136,"HCP21_00021140","hypothetical protein"
137,"HCP21_00021240","WD domain, G-beta repeat."
138,"HCP21_00021300","hypothetical protein"
138,"HCP21_00021320","hypothetical protein"
139,"HCP21_00021350","23S"
139,"HCP21_00021400","hypothetical protein"
139,"HCP21_00021420","hypothetical protein"
140,"HCP21_00021440","hypothetical protein"
141,"HCP21_00021450","hypothetical protein"
142,"HCP21_00021460","hypothetical protein"
142,"HCP21_00021470","hypothetical protein"
143,"HCP21_00021610","hypothetical protein"
144,"HCP21_00021700","hypothetical protein"
144,"HCP21_00021770","hypothetical protein"
144,"HCP21_00021860","hypothetical protein"
144,"HCP21_00021900","Protein kinase domain."
145,"HCP21_00021930","hypothetical protein"
146,"HCP21_00022340","hypothetical protein"
147,"HCP21_00022370","hypothetical protein"
148,"HCP21_00022410","hypothetical protein"
148,"HCP21_00022440","hypothetical protein"
149,"HCP21_00022490","hypothetical protein"
150,"HCP21_00022520","hypothetical protein"
151,"HCP21_00022540","hypothetical protein"
151,"HCP21_00022560","hypothetical protein"
152,"HCP21_00022610","hypothetical protein"
153,"HCP21_00022670","hypothetical protein"
153,"HCP21_00022780","hypothetical protein"
154,"HCP21_00022800","hypothetical protein"
154,"HCP21_00022820","23S"
154,"HCP21_00022860","Nucleotidyltransferase/DNA polymerase involved in DNA repair"
155,"HCP21_00023000","hypothetical protein"
156,"HCP21_00023050","hypothetical protein"
156,"HCP21_00023100","Fe-S oxidoreductase"
156,"HCP21_00023240","hypothetical protein"
